SERIJSKI_BROJ,NAZIV_KOMPONENTE,LINK
PIC24FJ64GA002-I/SP,MIKROKONTROLER_PIC24FJ64GA002-I/SP,https://eu.mouser.com/ProductDetail/Microchip-Technology/PIC24FJ64GA002-I-SP?qs=V%2FyyTCAHA4ChMHX5BWhjEA%3D%3D
WRL-17146,WIFI_MODUL,https://eu.mouser.com/ProductDetail/SparkFun/WRL-17146?qs=DPoM0jnrROXqYUXDsg9bzA%3D%3D
352210KJT,OTPORNIK_10kOhms,https://eu.mouser.com/ProductDetail/TE-Connectivity-Holsworthy/352210KJT?qs=ojKcPFmCWSX5xogi%252B4iu2A%3D%3D
352210KJT,OTPORNIK_10kOhms,https://eu.mouser.com/ProductDetail/TE-Connectivity-Holsworthy/352210KJT?qs=ojKcPFmCWSX5xogi%252B4iu2A%3D%3D
352210KJT,OTPORNIK_10kOhms,https://eu.mouser.com/ProductDetail/TE-Connectivity-Holsworthy/352210KJT?qs=ojKcPFmCWSX5xogi%252B4iu2A%3D%3D
CRGP2512F4K7,OTPORNIK_4.7kOhms,https://eu.mouser.com/ProductDetail/TE-Connectivity-Holsworthy/CRGP2512F4K7?qs=wUXugUrL1qyjkhd5xm375g%3D%3D
CRGP2512F4K7,OTPORNIK_4.7kOhms,https://eu.mouser.com/ProductDetail/TE-Connectivity-Holsworthy/CRGP2512F4K7?qs=wUXugUrL1qyjkhd5xm375g%3D%3D
CRGP2512F4K7,OTPORNIK_4.7kOhms,https://eu.mouser.com/ProductDetail/TE-Connectivity-Holsworthy/CRGP2512F4K7?qs=wUXugUrL1qyjkhd5xm375g%3D%3D
CRGP2512F4K7,OTPORNIK_4.7kOhms,https://eu.mouser.com/ProductDetail/TE-Connectivity-Holsworthy/CRGP2512F4K7?qs=wUXugUrL1qyjkhd5xm375g%3D%3D
3521470RFT,OTPORNIK_470Ohms,https://eu.mouser.com/ProductDetail/TE-Connectivity-Holsworthy/3521470RFT?qs=IXkKOuu5vnEY%252BTZ1zFEcqQ%3D%3D
C1812C104KDRAC7210,KONDENZATOR_0.1uF,https://eu.mouser.com/ProductDetail/KEMET/C1812C104KDRAC7210?qs=oaNt%252BxGPK2vkMHvWuyreJA%3D%3D
C1812C104KDRAC7210,KONDENZATOR_0.1uF,https://eu.mouser.com/ProductDetail/KEMET/C1812C104KDRAC7210?qs=oaNt%252BxGPK2vkMHvWuyreJA%3D%3D
C1812C104KDRAC7210,KONDENZATOR_0.1uF,https://eu.mouser.com/ProductDetail/KEMET/C1812C104KDRAC7210?qs=oaNt%252BxGPK2vkMHvWuyreJA%3D%3D
C1812C104KDRAC7210,KONDENZATOR_0.1uF,https://eu.mouser.com/ProductDetail/KEMET/C1812C104KDRAC7210?qs=oaNt%252BxGPK2vkMHvWuyreJA%3D%3D
C1812C106K3RACAUTO,KONDENZATOR_10uF,https://eu.mouser.com/ProductDetail/KEMET/C1812C106K3RACAUTO?qs=axzvp2Rdp5%2FYj0sITvAtmA%3D%3D
HDR100IMP40M-G-V-TH,KONEKTORI,https://eu.mouser.com/ProductDetail/Chip-Quik/HDR100IMP40M-G-V-TH?qs=Wj%2FVkw3K%252BMBASWNGaQOKpg%3D%3D
530153-2,JUMPER,https://eu.mouser.com/ProductDetail/TE-Connectivity/530153-2?qs=ZDXmSm13591aaDbZi3by6A%3D%3D
530153-2,JUMPER,https://eu.mouser.com/ProductDetail/TE-Connectivity/530153-2?qs=ZDXmSm13591aaDbZi3by6A%3D%3D
